id_usuario,rol,username,email_usuario,password,activo,mes_suscripcion
1,0,jlozano,jlozano@example.com,12345,True,0
2,1,steven,steven07@example.com,12345,True,0
3,2,valentinaa,vale.dev@example.com,12345,False,11
4,2,laura_g,laura_g@example.com,laura2025,True,10
5,1,andres98,andres98@example.com,andrespass,True,0
6,2,valentinaP,valentina_p@example.com,vale1234,False,9
7,1,carlosx,carlosx@example.com,password!,True,0
8,2,sofia99,sofia99@example.com,sofiapass,True,11
9,2,juandc,juandc@example.com,juandc321,False,9
10,1,pedrito,pedro_dev@example.com,pedro789,True,0
